phase,butter_lowpass_cutoff,distance_multiplier,systolic_mae,systolic_mse,systolic_rmse,systolic_r2,diastolic_mae,diastolic_mse,diastolic_rmse,diastolic_r2,abp_r2_combined,abp_mae_combined,abp_combined_score,videos_processed
phase1,5,1.0,6.852403888309747,113.04893139472557,10.63244710284164,-1.2774905131437095,15.044723753956035,316.93192252968043,17.802581906276416,-12.595903106890484,-6.9366968100170965,10.948563821132892,-7.046182448228425,3
phase1,5,0.9,7.386694621635925,151.57538540125668,12.311595566832786,-2.4508914987811896,15.266846332300497,306.9144221726929,17.518973205433387,-12.184771469651396,-7.317831484216293,11.32677047696821,-7.431099188985975,3
phase1,4,1.0,8.57406593152532,155.09077680404786,12.45354474854641,-1.5179306223000366,13.371798757780757,283.07448803238054,16.82481762255926,-20.749148681230977,-11.133539651765506,10.972932344653039,-11.243268975212036,3
phase1,4,0.9,9.075497229796971,194.1215932107316,13.932752535329534,-3.0871018437903617,14.375224863655282,286.39823142472767,16.923304388467628,-13.62273858393305,-8.354920213861705,11.725361046726126,-8.472173824328966,3
