butter_lowpass_cutoff,distance_ratio,segment_seconds,systolic_mae,systolic_mse,systolic_rmse,systolic_r2,diastolic_mae,diastolic_mse,diastolic_rmse,diastolic_r2,combined_score,videos_processed
3,0.6,6,15.889628855720861,445.8237131173474,21.114537956520557,-0.5570006702475612,11.218141547726415,148.72544950908542,12.195304404117406,-0.5872634884304795,28.252034562125317,8
3,0.6,8,15.889628855720861,445.8237131173474,21.114537956520557,-0.5570006702475612,11.218141547726415,148.72544950908542,12.195304404117406,-0.5872634884304795,28.252034562125317,8
3,0.6,10,15.889628855720861,445.8237131173474,21.114537956520557,-0.5570006702475612,11.218141547726415,148.72544950908542,12.195304404117406,-0.5872634884304795,28.252034562125317,8
3,0.8,6,15.580485085425904,388.583590180837,19.712523688783154,-0.5218417713787862,11.380848822344925,159.4093623257203,12.625742050498271,-0.6730626957099526,28.15623837485957,8
3,0.8,8,15.580485085425904,388.583590180837,19.712523688783154,-0.5218417713787862,11.380848822344925,159.4093623257203,12.625742050498271,-0.6730626957099526,28.15623837485957,8
3,0.8,10,15.580485085425904,388.583590180837,19.712523688783154,-0.5218417713787862,11.380848822344925,159.4093623257203,12.625742050498271,-0.6730626957099526,28.15623837485957,8
3,1.0,6,15.83401640167785,381.82857254147893,19.540434297667975,-0.4466244295317572,11.447921755828837,174.50198498869955,13.209919946339552,-0.5801582894129538,28.3087208764514,8
3,1.0,8,15.83401640167785,381.82857254147893,19.540434297667975,-0.4466244295317572,11.447921755828837,174.50198498869955,13.209919946339552,-0.5801582894129538,28.3087208764514,8
3,1.0,10,15.83401640167785,381.82857254147893,19.540434297667975,-0.4466244295317572,11.447921755828837,174.50198498869955,13.209919946339552,-0.5801582894129538,28.3087208764514,8
4,0.6,6,15.735959197220344,421.9257567136591,20.54083145137166,-0.275593368478773,10.808351121570059,157.36606992721855,12.544563361361707,-0.9110617511016936,27.73096543837087,8
4,0.6,8,15.735959197220344,421.9257567136591,20.54083145137166,-0.275593368478773,10.808351121570059,157.36606992721855,12.544563361361707,-0.9110617511016936,27.73096543837087,8
4,0.6,10,15.735959197220344,421.9257567136591,20.54083145137166,-0.275593368478773,10.808351121570059,157.36606992721855,12.544563361361707,-0.9110617511016936,27.73096543837087,8
4,0.8,6,15.673688397955456,396.4834541073744,19.91189227841931,-0.1880029494701998,10.870937307785919,160.4877198108221,12.668374789641414,-0.9349721400230548,27.66760079523463,8
4,0.8,8,15.673688397955456,396.4834541073744,19.91189227841931,-0.1880029494701998,10.870937307785919,160.4877198108221,12.668374789641414,-0.9349721400230548,27.66760079523463,8
